"original_file_name","id","file_name","catalog_id","dataset","path","scientific_name","genus","family","institution","width","height","size","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta","file.name","X.none.","X.none..1","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","unit.conv"
"INHS_FISH_100201",142213,"INHS_142213.JPG","100201","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100201.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11558551,1839,1838.6,458,459.11,115,116.4,117,116,224,10182,91056,2.4,1.46,394.287,"cm",2.89,"INHS_FISH_100201",NA,NA,46.64,46.63,11.62,11.64,2.92,2.95,2.97,2.94,5.68,0.65,5.86,"mm"
"INHS_FISH_100532",142304,"INHS_142304.JPG","100532","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100532.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10742190,1785,1784.11,406,408.58,88,90.71,115,114,218,9297,79606,179.78,0.64,393.474,"cm",-0.16,"INHS_FISH_100532",NA,NA,45.37,45.34,10.32,10.38,2.24,2.31,2.92,2.9,5.54,0.6,5.14,"mm"
"INHS_FISH_102135",142739,"INHS_142739.JPG","102135","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102135.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11249078,988,987.13,235,236.04,43,43.05,73,72.17,126,3901,26545,178.61,-0.93,393.805,"cm",-1.49,"INHS_FISH_102135",NA,NA,25.09,25.07,5.97,5.99,1.09,1.09,1.85,1.83,3.2,0.25,1.71,"mm"
"INHS_FISH_102621",142853,"INHS_142853.JPG","102621","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102621.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10272381,1318,1331.65,339,339.61,87,87,115,114,195,9114,56302,13.35,8.51,393.897,"cm",12.29,"INHS_FISH_102621",NA,NA,33.46,33.81,8.61,8.62,2.21,2.21,2.92,2.89,4.95,0.59,3.63,"mm"
"INHS_FISH_102957",142937,"INHS_142937.JPG","102957","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102957.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11210485,1860,1877.65,409,413.46,109,109.02,133,132.02,223,12197,79911,7.7,8.08,391.925,"cm",7.56,"INHS_FISH_102957",NA,NA,47.46,47.91,10.44,10.55,2.78,2.78,3.39,3.37,5.69,0.79,5.2,"mm"
"INHS_FISH_102958",142938,"INHS_142938.JPG","102958","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102958.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10858240,1326,1325,349,349.38,94,109.42,105,104,183,7112,55567,1.42,0.09,392.894,"cm",1.07,"INHS_FISH_102958",NA,NA,33.75,33.72,8.88,8.89,2.39,2.78,2.67,2.65,4.66,0.46,3.6,"mm"
"INHS_FISH_103091",142966,"INHS_142966.JPG","103091","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_103091.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11591075,1927,1926.08,496,497.83,132,133.82,148,148.1,256,16239,105786,179.54,-0.54,393.963,"cm",-0.62,"INHS_FISH_103091",NA,NA,48.91,48.89,12.59,12.64,3.35,3.4,3.76,3.76,6.5,1.05,6.82,"mm"
"INHS_FISH_104263",143294,"INHS_143294.JPG","104263","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_104263.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10951668,1595,1594.41,431,430.07,120,122.78,123,122.07,215,9146,73878,179.6,-1.29,394.607,"cm",-0.15,"INHS_FISH_104263",NA,NA,40.42,40.41,10.92,10.9,3.04,3.11,3.12,3.09,5.45,0.59,4.74,"mm"
"INHS_FISH_105892",143712,"INHS_143712.JPG","105892","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105892.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10992422,1604,1603.01,391,390.08,99,100.45,120,119,198,9616,67161,179.53,-0.21,394.407,"cm",-0.57,"INHS_FISH_105892",NA,NA,40.67,40.64,9.91,9.89,2.51,2.55,3.04,3.02,5.02,0.62,4.32,"mm"
"INHS_FISH_105978",143736,"INHS_143736.JPG","105978","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105978.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11246448,1869,1868.05,501,501.37,138,138.29,135,134.18,264,13788,112640,0.48,0.4,393.186,"cm",0.37,"INHS_FISH_105978",NA,NA,47.53,47.51,12.74,12.75,3.51,3.52,3.43,3.41,6.71,0.89,7.29,"mm"
